# Train        Test        
    0.894800     0.961200 
    0.952483     0.973700 
    0.961283     0.970200 
    0.965283     0.980100 
    0.968833     0.980400 
    0.971517     0.983600 
    0.973117     0.981400 
    0.974183     0.983700 
    0.976317     0.981500 
    0.977500     0.984000 
    0.977200     0.983300 
    0.978450     0.982300 
    0.979667     0.986400 
    0.980883     0.987300 
    0.981567     0.988000 
    0.980867     0.987700 
    0.982017     0.987300 
    0.983183     0.987700 
    0.983983     0.987400 
    0.983267     0.988000 
    0.983833     0.984800 
    0.985200     0.987300 
    0.984600     0.990000 
    0.985433     0.988200 
    0.986200     0.987900 
    0.985617     0.986500 
    0.986200     0.988300 
    0.986967     0.989700 
    0.986983     0.989500 
    0.987767     0.988700 
    0.987450     0.990000 
    0.988600     0.989100 
    0.988383     0.988800 
    0.988633     0.990000 
    0.988450     0.989800 
    0.988733     0.989500 
    0.989033     0.990500 
    0.988800     0.989200 
    0.989217     0.991000 
    0.989150     0.989500 
    0.989867     0.986100 
    0.990600     0.990200 
    0.989850     0.990700 
    0.990900     0.990000 
    0.990983     0.989200 
    0.990633     0.990900 
    0.991183     0.991000 
    0.990667     0.989900 
    0.991250     0.990600 
    0.991250     0.990400 
    0.991417     0.986900 
    0.991500     0.991600 
    0.991517     0.991200 
    0.991950     0.991100 
    0.992017     0.991700 
    0.991933     0.991800 
    0.992383     0.989500 
    0.991500     0.991100 
    0.992250     0.990400 
    0.991767     0.993000 
    0.992817     0.988100 
    0.992367     0.991500 
    0.992500     0.990800 
    0.992667     0.990400 
    0.992300     0.991600 
    0.992517     0.988300 
    0.993267     0.992300 
    0.992583     0.990400 
    0.992883     0.992800 
    0.993067     0.992600 
    0.992917     0.991100 
    0.993567     0.990900 
    0.993200     0.990200 
    0.993900     0.992000 
    0.993533     0.990500 
    0.993433     0.991400 
    0.993733     0.992200 
    0.993517     0.991200 
    0.993933     0.992000 
    0.993517     0.991700 
    0.994250     0.989400 
    0.993750     0.991500 
    0.994300     0.990900 
    0.994267     0.990800 
    0.993550     0.990500 
    0.994517     0.989200 
    0.993633     0.992100 
    0.993633     0.992500 
    0.994333     0.990400 
    0.994183     0.991900 
    0.994533     0.991000 
    0.994200     0.992300 
    0.994550     0.992000 
    0.994767     0.992100 
    0.994567     0.992100 
    0.994333     0.990400 
    0.994717     0.990400 
    0.994450     0.992300 
    0.994100     0.991800 
    0.994733     0.992200 
