# Train        Test        
    0.343791     0.185946 
    0.153734     0.081627 
    0.123959     0.099296 
    0.109798     0.061364 
    0.099928     0.059267 
    0.089640     0.054223 
    0.086138     0.056147 
    0.080960     0.051177 
    0.076195     0.056061 
    0.071385     0.049683 
    0.072724     0.062083 
    0.066656     0.054738 
    0.064196     0.042740 
    0.060041     0.038698 
    0.058266     0.035581 
    0.059251     0.035929 
    0.056060     0.034685 
    0.052881     0.034883 
    0.051494     0.037464 
    0.050554     0.038946 
    0.049565     0.052808 
    0.046337     0.036302 
    0.046114     0.031712 
    0.045074     0.033748 
    0.043660     0.036787 
    0.043100     0.040169 
    0.042077     0.031809 
    0.041692     0.032485 
    0.040041     0.026970 
    0.038489     0.031846 
    0.039127     0.036472 
    0.035968     0.030506 
    0.036008     0.032329 
    0.035081     0.029225 
    0.035967     0.030233 
    0.034739     0.032001 
    0.032803     0.026560 
    0.033510     0.031394 
    0.032227     0.027527 
    0.032747     0.030073 
    0.031195     0.041289 
    0.029152     0.031592 
    0.030503     0.026940 
    0.028623     0.028443 
    0.028010     0.030057 
    0.028141     0.028807 
    0.026669     0.026468 
    0.028233     0.031833 
    0.027065     0.027554 
    0.027020     0.030454 
    0.026429     0.037580 
    0.026477     0.025946 
    0.025613     0.027403 
    0.024594     0.028398 
    0.025068     0.024450 
    0.024067     0.023793 
    0.024247     0.031170 
    0.024586     0.024134 
    0.023903     0.028955 
    0.023665     0.022842 
    0.022105     0.032755 
    0.023026     0.025419 
    0.022337     0.024766 
    0.021784     0.027669 
    0.022663     0.024864 
    0.022955     0.035632 
    0.020321     0.025185 
    0.021799     0.029364 
    0.021704     0.022906 
    0.021064     0.025640 
    0.021031     0.025533 
    0.019210     0.024957 
    0.020051     0.027198 
    0.018679     0.025161 
    0.019864     0.025803 
    0.019830     0.027383 
    0.018539     0.023488 
    0.019817     0.023699 
    0.018512     0.022731 
    0.018863     0.026419 
    0.018260     0.032077 
    0.018788     0.027637 
    0.017728     0.027098 
    0.017012     0.025244 
    0.019319     0.025975 
    0.016760     0.029275 
    0.017925     0.024399 
    0.018217     0.023661 
    0.017716     0.024989 
    0.017633     0.023457 
    0.017088     0.026826 
    0.017536     0.024134 
    0.016362     0.024290 
    0.016354     0.024413 
    0.016373     0.025336 
    0.017611     0.029050 
    0.016101     0.028374 
    0.016090     0.026535 
    0.017292     0.022709 
    0.015496     0.023086 
