# Train        Test        
    0.174145     0.099532 
    0.080232     0.043713 
    0.054834     0.045357 
    0.051142     0.041466 
    0.045062     0.060038 
    0.037963     0.043700 
    0.033604     0.045255 
    0.034343     0.038309 
    0.026803     0.051328 
    0.030795     0.039658 
    0.022796     0.057688 
    0.021780     0.045342 
    0.021065     0.034540 
    0.018058     0.056399 
    0.016835     0.043105 
    0.021019     0.036189 
    0.016106     0.043518 
    0.014709     0.040118 
    0.014617     0.034121 
    0.014341     0.034737 
    0.016591     0.045630 
    0.014471     0.045832 
    0.014757     0.038464 
    0.012114     0.035787 
    0.012176     0.042945 
    0.011577     0.032769 
    0.012644     0.047168 
    0.011088     0.036098 
    0.011010     0.030980 
    0.011048     0.031814 
    0.011239     0.033360 
    0.011554     0.040704 
    0.009859     0.036459 
    0.010144     0.035474 
    0.009473     0.034121 
    0.008797     0.027422 
    0.009478     0.031348 
    0.010252     0.029157 
    0.010026     0.029348 
    0.008429     0.031209 
    0.009298     0.043827 
    0.008776     0.031643 
    0.007796     0.035327 
    0.009281     0.032049 
    0.007935     0.025460 
    0.013958     0.028966 
    0.007213     0.032290 
    0.008167     0.046442 
    0.007987     0.030578 
    0.010848     0.027745 
    0.006361     0.028197 
    0.006272     0.034128 
    0.007531     0.047191 
    0.007349     0.026043 
    0.007070     0.032725 
    0.007645     0.026973 
    0.007552     0.043383 
    0.007460     0.032877 
    0.006884     0.028365 
    0.006831     0.028239 
    0.005006     0.030350 
    0.003894     0.026701 
    0.003828     0.026427 
    0.003757     0.028807 
    0.003507     0.028577 
    0.003428     0.025392 
    0.003230     0.025077 
    0.003273     0.026826 
    0.003375     0.025991 
    0.003120     0.029435 
    0.003255     0.033027 
    0.003003     0.028757 
    0.002831     0.032693 
    0.003220     0.027749 
    0.003035     0.030893 
    0.003095     0.030342 
    0.003200     0.025420 
    0.002711     0.030741 
    0.002639     0.025303 
    0.002768     0.026970 
    0.003022     0.025662 
    0.003042     0.026198 
    0.002705     0.024660 
    0.002862     0.027798 
    0.003058     0.028778 
    0.002837     0.024130 
    0.002517     0.035531 
    0.002899     0.026611 
    0.002637     0.025208 
    0.002579     0.027340 
    0.002385     0.024237 
    0.002658     0.029180 
    0.003036     0.027307 
    0.002473     0.028805 
    0.002311     0.028228 
    0.002458     0.026940 
    0.003086     0.029002 
    0.002599     0.024245 
    0.002281     0.025468 
    0.002406     0.027759 
